Nov 25 10:54:47 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 21, retried or failed 0
Nov 25 10:54:47 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 21, retried or failed 0
Nov 25 10:54:47 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 124, retried or failed 4
Nov 25 10:54:57 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 66, retried or failed 0
Nov 25 10:54:57 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 21, retried or failed 0
Nov 25 10:54:57 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 21, retried or failed 0
Nov 25 10:54:57 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 21, retried or failed 0
Nov 25 10:54:57 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 124, retried or failed 4
Nov 25 10:55:07 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 66, retried or failed 0
Nov 25 10:55:07 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 21, retried or failed 0
Nov 25 10:55:07 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 21, retried or failed 0
Nov 25 10:55:07 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 21, retried or failed 0
Nov 25 10:55:07 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 124, retried or failed 4
Nov 25 10:55:17 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 66, retried or failed 0
Nov 25 10:55:17 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 21, retried or failed 0
Nov 25 10:55:17 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 21, retried or failed 0
Nov 25 10:55:17 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 21, retried or failed 0
Nov 25 10:55:17 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 124, retried or failed 4
Nov 25 10:55:27 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 67, retried or failed 0
Nov 25 10:55:27 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 22, retried or failed 0
Nov 25 10:55:27 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 22, retried or failed 0
Nov 25 10:55:27 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 22, retried or failed 0
Nov 25 10:55:27 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 125, retried or failed 4
Nov 25 10:55:37 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 68, retried or failed 0
Nov 25 10:55:37 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 22, retried or failed 0
Nov 25 10:55:37 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 22, retried or failed 0
Nov 25 10:55:37 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 22, retried or failed 0
